date,clicks,conversions
2026-06-01,3,0
2026-06-02,8,0
2026-06-03,2,0
2026-06-04,4,0
2026-06-05,3,0
2026-06-06,1,0
2026-06-07,2,0
2026-06-08,3,1
2026-06-09,0,0
2026-06-10,10,0
2026-06-11,6,0
2026-06-12,16,0
2026-06-13,5,0
2026-06-14,4,0
2026-06-15,20,0
2026-06-16,9,0
2026-06-17,13,0
2026-06-18,16,0
2026-06-19,4,0
2026-06-20,8,0
2026-06-21,21,1
2026-06-22,18,0
2026-06-23,10,0
2026-06-24,21,0
2026-06-25,17,0
2026-06-26,20,0
2026-06-27,30,0
2026-06-28,18,0
2026-06-29,24,1
2026-06-30,23,1
TOTAL,339,4
