code,utm_term,clicks
ba,0526,3
bi,0602,3
bl,0604,2
bn,0610_2,2
br,0611,2
bs,BMW,4
bu,아우디,5
bv,g90,2
bw,Q3,2
by,a6,5
bz,월드컵,6
c0,G80,2
c1,TESLA,3
c2,volkswagen,3
c4,BMW,2
c5,전기차 보조금,2
c6,볼보,3
c7,수입차 판매량,2
c8,모빌리티쇼,4
c9,아우디,2
ca,BMW,3
cb,벤츠,4
cc,모빌리티쇼,4
cd,초년생첫차,2
ce,국산차판매량,2
cf,신차구매절차,2
ch,테슬라,2
ci,개소세 감면,2
ck,신차 계약시 주의사항,2
cm,bmw x5,2
cn,BYD,2
co,tesla,3
cs,수입차 판매량,2
cv,테슬라,2
cw,2607_bmw,3
cx,2607_benz,3
cy,자유주행 총정리,2
d0,2607_audi,3
d1,국산차 판매량 순위,2
d2,취등록세,2
d3,2607_rangerover,3
d4,320i,2
d8,승계 개념,2
da,2607_여름철 충전,2
dd,2607_장단기렌트 비교,2
de,2607_전기차 살까 리스할까,2
df,2607_운전점검,2
dg,2607_지커,4
dh,2607_월납입금,2
di,2607_수입차 사기 전 꼭 볼 유지비 현실,2
dj,2607_현대영업,2
dk,260724_테슬라,2
dl,260725_볼보,3
dm,2607_AI發 메모리 가격 폭등,4
dn,2607_혼다,2
do,2607_테슬라 bms,2
dp,2607_전기차 BMS 경고등,2
dq,2607_기아 EV5,5
dr,2607_차량옵션,2
ds,2607_로보택시 동맹,2
dt,2607_현금vs할부,2
du,2607_현대차 디펜더,2
dv,2607_아우디 A6,3
dw,"2607_아이오닉, ev6",3
dx,2607_여름에어컨,2
dy,2607_보조금,3
dz,2607_카이엔,2
e0,2607_폭염철 배터리·타이어,3
e1,2607_벤츠 s 클래스,3
e3,2607_기아ev5,3
e4,2607_첫차보험료,3
e5,2607_전기식도어,3
e6,2607_감가율 낮은 차,3
e7,2607_테슬라 문화,4
ec,2607_아이오닉 v,3
ed,2607_벤츠가격전쟁,3
ee,2607_차량옵션_1,2
ef,2607_차량옵션_2,2
TOTAL_nonzero,,206
zero_utms,,28
