clicks,utm_term,code
72,월드컵,bz
71,아우디,bu
67,BMW,bs
61,모빌리티쇼,cc
57,a6,by
49,BMW,ca
48,벤츠,cb
47,0611,br
46,모빌리티쇼,c8
36,2607_benz,cx
35,tesla,co
34,신차 계약시 주의사항,ck
34,2607_지커,dg
32,Q3,bw
32,수입차 판매량,cs
32,2607_bmw,cw
29,g90,bv
29,국산차판매량,ce
28,아우디,c9
28,초년생첫차,cd
28,BYD,cn
26,0602,bi
26,0610_2,bn
26,자유주행 총정리,cy
25,신차구매절차,cf
25,bmw x5,cm
24,테슬라,ch
24,개소세 감면,ci
24,테슬라,cv
23,0526,ba
22,0604,bl
22,2607_audi,d0
21,320i,d4
19,2607_여름철 충전,da
19,260725_볼보,dl
15,볼보,c6
13,G80,c0
13,국산차 판매량 순위,d1
13,2607_rangerover,d3
12,volkswagen,c2
12,2607_아우디 A6,dv
11,TESLA,c1
11,260724_테슬라,dk
11,2607_기아 EV5,dq
10,취등록세,d2
10,2607_현대영업,dj
10,2607_혼다,dn
9,2607_월납입금,dh
9,2607_AI發 메모리 가격 폭등,dm
8,승계 개념,d8
8,2607_운전점검,df
8,2607_수입차 유지비 현실,di
8,2607_전기차 BMS 경고등,dp
8,2607_차량옵션,dr
7,전기차 보조금,c5
7,2607_장단기렌트 비교,dd
7,2607_로보택시 동맹,ds
6,수입차 판매량,c7
6,2607_전기차 살까 리스할까,de
6,2607_테슬라 bms,do
6,2607_현대차 디펜더,du
6,2607_보조금,dy
6,2607_카이엔,dz
5,2607_현금vs할부,dt
5,"2607_아이오닉, ev6",dw
5,2607_여름에어컨,dx
5,2607_폭염철 배터리·타이어,e0
5,2607_벤츠 s 클래스,e1
5,2607_전기식도어,e5
4,BMW,c4
4,2607_감가율 낮은 차,e6
4,2607_테슬라 문화,e7
4,2607_아이오닉 v,ec
4,2607_벤츠가격전쟁,ed
3,2607_기아ev5,e3
3,2607_첫차보험료,e4
3,2607_차량옵션_1,ee
3,2607_차량옵션_2,ef
1,2607_테슬라 모의견적,ei
1540,TOTAL_nonzero,
0,zero_utms,29
