date,search_clicks,discover_clicks,gsc_total,cta_clicks,cta_per_gsc
2026-07-01,21,0,21,17,0.81
2026-07-02,21,0,21,24,1.143
2026-07-03,26,0,26,18,0.692
2026-07-04,17,0,17,15,0.882
2026-07-05,22,0,22,18,0.818
2026-07-06,21,0,21,15,0.714
2026-07-07,25,0,25,18,0.72
2026-07-08,15,0,15,19,1.267
2026-07-09,37,0,37,24,0.649
2026-07-10,30,0,30,20,0.667
2026-07-11,28,0,28,20,0.714
2026-07-12,36,0,36,32,0.889
2026-07-13,32,12,44,25,0.568
2026-07-14,32,0,32,32,1.0
2026-07-15,30,0,30,30,1.0
2026-07-16,23,0,23,26,1.13
2026-07-17,23,0,23,25,1.087
2026-07-18,33,0,33,18,0.545
2026-07-19,33,201,234,60,0.256
2026-07-20,24,5,29,32,1.103
2026-07-21,25,1,26,36,1.385
2026-07-22,28,0,28,30,1.071
2026-07-23,30,133,163,401,2.46
2026-07-24,27,67,94,37,0.394
2026-07-25,24,203,227,55,0.242
2026-07-26,45,2895,2940,37,0.013
2026-07-27,48,1085,1133,83,0.073
2026-07-28,54,280,334,78,0.234
2026-07-29,44,28,72,33,0.458
2026-07-30,47,0,47,206,4.383
2026-07-31,42,0,42,56,1.333
