date,cohort,clicks,conv_수입차신차문의
2026-07-01,new(AI 발행),17,0
2026-07-02,new(AI 발행),24,0
2026-07-03,new(AI 발행),18,0
2026-07-04,new(AI 발행),15,0
2026-07-05,new(AI 발행),18,0
2026-07-06,new(AI 발행),15,0
2026-07-07,new(AI 발행),18,0
2026-07-08,new(AI 발행),19,0
2026-07-09,new(AI 발행),24,0
2026-07-10,new(AI 발행),20,0
2026-07-11,new(AI 발행),20,0
2026-07-12,new(AI 발행),32,0
2026-07-13,new(AI 발행),25,1
2026-07-14,new(AI 발행),32,0
2026-07-15,new(AI 발행),30,0
2026-07-16,new(AI 발행),26,0
2026-07-17,new(AI 발행),25,0
2026-07-18,new(AI 발행),18,0
2026-07-19,new(AI 발행),60,1
2026-07-20,new(AI 발행),32,0
2026-07-21,new(AI 발행),36,0
2026-07-22,new(AI 발행),30,0
2026-07-23,new(AI 발행),401,0
2026-07-24,new(AI 발행),37,0
2026-07-25,new(AI 발행),55,0
2026-07-26,new(AI 발행),37,0
2026-07-27,new(AI 발행),83,0
2026-07-28,new(AI 발행),78,0
2026-07-29,new(AI 발행),33,1
2026-07-30,new(AI 발행),206,0
2026-07-31,new(AI 발행),56,0
TOTAL,new(AI 발행),1540,3
