date,cohort,clicks,conv_수입차신차문의
2026-07-01,old(이전 담당자),2,0
2026-07-02,old(이전 담당자),0,0
2026-07-03,old(이전 담당자),0,0
2026-07-04,old(이전 담당자),1,0
2026-07-05,old(이전 담당자),3,0
2026-07-06,old(이전 담당자),2,0
2026-07-07,old(이전 담당자),0,0
2026-07-08,old(이전 담당자),1,0
2026-07-09,old(이전 담당자),1,0
2026-07-10,old(이전 담당자),0,0
2026-07-11,old(이전 담당자),0,0
2026-07-12,old(이전 담당자),3,0
2026-07-13,old(이전 담당자),1,0
2026-07-14,old(이전 담당자),0,0
2026-07-15,old(이전 담당자),2,0
2026-07-16,old(이전 담당자),1,0
2026-07-17,old(이전 담당자),1,0
2026-07-18,old(이전 담당자),3,0
2026-07-19,old(이전 담당자),0,0
2026-07-20,old(이전 담당자),2,1
2026-07-21,old(이전 담당자),2,0
2026-07-22,old(이전 담당자),0,0
2026-07-23,old(이전 담당자),3,0
2026-07-24,old(이전 담당자),2,1
2026-07-25,old(이전 담당자),1,0
2026-07-26,old(이전 담당자),3,0
2026-07-27,old(이전 담당자),11,1
2026-07-28,old(이전 담당자),1,0
2026-07-29,old(이전 담당자),0,0
2026-07-30,old(이전 담당자),1,0
2026-07-31,old(이전 담당자),2,0
TOTAL,old(이전 담당자),49,3
