날짜,클릭수,수입차 신차 문의,시승 문의,중고차 무료상담 문의,중고차 1분조회 문의,국산차 문의,캐시백 문의,합계
06월 01일,3,0,0,0,0,0,0,0
06월 02일,8,0,0,0,0,0,0,0
06월 03일,2,0,0,0,0,0,0,0
06월 04일,4,0,0,0,0,0,0,0
06월 05일,3,0,0,0,0,0,0,0
06월 06일,1,0,0,0,0,0,0,0
06월 07일,2,0,0,0,0,0,0,0
06월 08일,3,1,0,0,0,0,0,1
06월 09일,0,0,0,0,0,0,0,0
06월 10일,10,0,0,0,0,0,0,0
06월 11일,6,0,0,0,0,0,0,0
06월 12일,16,0,0,0,0,0,0,0
06월 13일,5,0,0,0,0,0,0,0
06월 14일,4,0,0,0,0,0,0,0
06월 15일,20,0,0,0,0,0,0,0
06월 16일,9,0,0,0,0,0,0,0
06월 17일,13,0,0,0,0,0,0,0
06월 18일,16,0,0,0,0,0,0,0
06월 19일,4,0,0,0,0,0,0,0
06월 20일,8,0,0,0,0,0,0,0
06월 21일,21,1,0,0,0,0,0,1
06월 22일,18,0,0,0,0,0,0,0
06월 23일,10,0,0,0,0,0,0,0
06월 24일,21,0,0,0,0,0,0,0
06월 25일,17,0,0,0,0,0,0,0
06월 26일,20,0,0,0,0,0,0,0
06월 27일,30,0,0,0,0,0,0,0
06월 28일,18,0,0,0,0,0,0,0
06월 29일,14,1,0,0,0,0,0,1
06월 30일,23,1,0,0,0,0,0,1
합계,329,3,0,0,0,0,0,4
