date,clicks,impressions,ctr,avg_position
2026-03-01,9.0,1317.0,0.0068000000000000005,6.4
2026-03-02,12.0,1514.0,0.0079,8.4
2026-03-03,2.0,1305.0,0.0015,8.6
2026-03-04,7.0,1405.0,0.005,6.3
2026-03-05,11.0,1231.0,0.0089,6.6
2026-03-06,6.0,1047.0,0.005699999999999999,8.5
2026-03-07,9.0,1022.0,0.0088,6.4
2026-03-08,11.0,1324.0,0.0083,6.3
2026-03-09,12.0,1293.0,0.009300000000000001,6.3
2026-03-10,12.0,2054.0,0.0058,5.9
2026-03-11,15.0,1231.0,0.012199999999999999,6.5
2026-03-12,10.0,1212.0,0.0083,7.1
2026-03-13,13.0,1146.0,0.0113,7.7
2026-03-14,13.0,1246.0,0.0104,6.1
2026-03-15,16.0,1275.0,0.0125,6.1
2026-03-16,19.0,1249.0,0.0152,6.5
2026-03-17,11.0,1457.0,0.0075,6.5
2026-03-18,9.0,1343.0,0.0067,6.2
2026-03-19,13.0,1606.0,0.008100000000000001,7.8
2026-03-20,8.0,1244.0,0.0064,7.4
2026-03-21,13.0,1604.0,0.008100000000000001,6.0
2026-03-22,16.0,1697.0,0.009399999999999999,6.1
2026-03-23,19.0,1540.0,0.0123,6.2
2026-03-24,11.0,1515.0,0.0073,6.0
2026-03-25,11.0,1591.0,0.0069,6.3
2026-03-26,18.0,1428.0,0.0126,6.2
2026-03-27,14.0,1554.0,0.009000000000000001,7.4
2026-03-28,8.0,1407.0,0.005699999999999999,6.5
2026-03-29,15.0,1446.0,0.0104,6.0
2026-03-30,11.0,1432.0,0.0077,6.4
2026-03-31,10.0,1274.0,0.0078000000000000005,6.2
2026-04-01,16.0,1425.0,0.011200000000000002,6.3
2026-04-02,20.0,1413.0,0.014199999999999999,6.2
2026-04-03,7.0,1242.0,0.005600000000000001,7.0
2026-04-04,11.0,1351.0,0.008100000000000001,6.1
2026-04-05,11.0,1708.0,0.0064,6.1
2026-04-06,13.0,1534.0,0.0085,6.3
2026-04-07,14.0,1500.0,0.009300000000000001,6.3
2026-04-08,26.0,1366.0,0.019,6.2
2026-04-09,17.0,1679.0,0.0101,6.9
2026-04-10,13.0,1398.0,0.009300000000000001,6.5
2026-04-11,12.0,1178.0,0.0102,6.7
2026-04-12,27.0,1605.0,0.0168,6.3
2026-04-13,10.0,1494.0,0.0067,6.5
2026-04-14,10.0,1732.0,0.0058,5.9
2026-04-15,12.0,1363.0,0.0088,7.2
2026-04-16,13.0,1364.0,0.0095,6.9
2026-04-17,7.0,1144.0,0.0060999999999999995,7.2
2026-04-18,8.0,1158.0,0.0069,6.5
2026-04-19,21.0,1354.0,0.0155,6.3
2026-04-20,10.0,1451.0,0.0069,6.5
2026-04-21,11.0,1445.0,0.0076,6.9
2026-04-22,13.0,1329.0,0.0098,6.8
