page,clicks,impressions,ctr,avg_position
https://carfia.co.kr/board/post/cmhivs6wk00ahnj5vfzvlvdht,405.0,20488.0,0.019799999999999998,6.2
https://carfia.co.kr/board/post/cmh2t3bs2004zki8uggwgwr21,189.0,10001.0,0.0189,6.29
https://carfia.co.kr/board/post/cmi5lm1nv007x14cutjjde6ny,137.0,3752.0,0.0365,5.21
https://carfia.co.kr/board/post/cmrd8ht920004qocq5jqqxo4a,119.0,5005.0,0.023799999999999998,3.82
https://carfia.co.kr/board/post/cmfxqovb001h56epmhbe6tyet,112.0,23005.0,0.0049,5.37
https://carfia.co.kr/board/post/cmh2sc4ox004uki8uawzs0kuw,108.0,31269.0,0.0034999999999999996,7.2
https://carfia.co.kr/board/post/cmih554zp002gsmrsxnrvxsrm,89.0,9631.0,0.0092,7.36
https://carfia.co.kr/board/post/cmqeivxp400bsqoxfupkl9cgf,79.0,1370.0,0.057699999999999994,5.8
https://carfia.co.kr/board/post/cmqajakng00adqoxf6q7w3l4z,78.0,2606.0,0.029900000000000003,5.91
https://carfia.co.kr/board/post/cmfupdvwz003s6epm1sti79gu,71.0,14344.0,0.0049,7.19
https://carfia.co.kr/board/post/cmqagvtjy00a5qoxfi2fn5k0v,54.0,3946.0,0.0137,5.59
https://carfia.co.kr/board/post/cmizd6h390007jg3tjjtq0v0f,52.0,7216.0,0.0072,6.93
https://carfia.co.kr/board/post/cmifnivqv000gsmrssweypm1x,48.0,3500.0,0.0137,5.97
https://carfia.co.kr/board/post/cmqqdslou005iqooe8q49w702,46.0,4468.0,0.0103,5.36
https://carfia.co.kr/board/post/cmr1u6cv00070qoo2dkdsz7fk,43.0,969.0,0.0444,5.21
https://carfia.co.kr/board/post/cmi4ayas3007814cupkjl48ne,42.0,10776.0,0.0039000000000000003,6.82
https://carfia.co.kr/board/post/cmqholwf800e8qoxf2km40a36,39.0,2544.0,0.015300000000000001,7.2
https://carfia.co.kr/board/post/cmqoiqpfl00heqoxf6bn1kxsy,36.0,8599.0,0.0042,6.5
https://carfia.co.kr/board/post/cmhaasdmn003pnj5vn5sjvz52,35.0,4190.0,0.0084,7.54
https://carfia.co.kr/board/post/cmqiqgwlj00eeqoxfnyfluc5z,28.0,2366.0,0.0118,8.12
https://carfia.co.kr/board/post/cmj6sxcam00a0dtcyn7ef81ug,27.0,1402.0,0.019299999999999998,6.53
https://carfia.co.kr/board/post/cmrimsc4e003pqocqv0mioijj,24.0,1502.0,0.016,4.96
https://carfia.co.kr/board/post/cmio9k5va0002fwai5vxep8ui,22.0,8659.0,0.0025,6.55
https://carfia.co.kr/board/post/cmpw2b66h0008qoxfto7kwuc4,19.0,858.0,0.022099999999999998,7.41
https://carfia.co.kr/board/post/cmqubhzzr002jqoo2azxmjid0,17.0,563.0,0.0302,5.31
https://carfia.co.kr/board/post/cmha63x1v0034nj5vh342xfwy,16.0,5508.0,0.0029,7.79
https://carfia.co.kr/board/post/cmr4nx83z000kqoeay728sd0i,16.0,1196.0,0.0134,7.65
https://carfia.co.kr/board/post/cmqyruscc004tqoo2ymqt2q69,15.0,412.0,0.0364,6.67
https://carfia.co.kr/board/post/cmipos1l2004wfwaijsl06axv,13.0,2200.0,0.0059,9.73
