query,clicks,impressions,ctr,avg_position
bms a079,65.0,2000.0,0.0325,4.66
테슬라 bms,52.0,1697.0,0.030600000000000002,4.74
ev5 단점,49.0,630.0,0.07780000000000001,2.15
테슬라 bms a079,22.0,482.0,0.045599999999999995,4.05
ev5 장단점,22.0,164.0,0.1341,1.62
bmw 할인 프로모션 2026,17.0,538.0,0.0316,7.15
수입차 판매순위,13.0,1647.0,0.0079,2.91
국산 세단 순위,11.0,353.0,0.031200000000000002,2.75
ev5,10.0,531.0,0.018799999999999997,18.89
아반떼 장기렌트 비용,8.0,521.0,0.0154,5.93
bms 테슬라,8.0,482.0,0.0166,5.08
자동차 판매 순위,8.0,450.0,0.0178,7.98
테슬라 bms 에러,8.0,350.0,0.0229,5.49
수입전기차,8.0,132.0,0.060599999999999994,3.98
국산 자동차 가격 순위,7.0,1025.0,0.0068000000000000005,8.92
국산차 판매순위,7.0,849.0,0.008199999999999999,6.96
테슬라 배터리 이슈,7.0,382.0,0.0183,6.46
bms 오류,7.0,229.0,0.030600000000000002,4.85
테슬라 bms 문제,7.0,164.0,0.042699999999999995,3.23
bmw 프로모션,7.0,154.0,0.0455,10.75
테슬라 bms 이슈,7.0,146.0,0.0479,3.01
수입 전기차 종류,7.0,135.0,0.0519,4.32
제네시스 g90 풀체인지 출시일,7.0,41.0,0.1707,6.61
외제차 순위,6.0,663.0,0.009000000000000001,3.68
아반떼 장기렌트,6.0,298.0,0.020099999999999996,7.06
ev5 후기,6.0,181.0,0.0331,12.6
수입 전기차,6.0,145.0,0.0414,4.94
glb eq,6.0,62.0,0.0968,3.4
테슬라 bms a079 리콜,6.0,60.0,0.1,4.22
아우디 3월 프로모션,6.0,32.0,0.1875,5.19
g90 신형 출시일,6.0,28.0,0.2143,5.96
핫딜게시판,5.0,2734.0,0.0018,8.07
외제차 브랜드 순위,5.0,1815.0,0.0028000000000000004,1.77
자동차 판매량,5.0,944.0,0.0053,7.4
수입차 판매 순위,5.0,207.0,0.0242,3.43
bms 079,5.0,125.0,0.04,6.05
모델3 bms,5.0,71.0,0.0704,3.75
테슬라 bms-a079 리콜,5.0,70.0,0.07139999999999999,2.39
ev5 평가,5.0,59.0,0.08470000000000001,2.34
glb ev,5.0,47.0,0.10640000000000001,4.66
g90 풀체인지 출시일,5.0,39.0,0.1282,7.0
아우디 6월 프로모션,5.0,20.0,0.25,5.05
a079,4.0,334.0,0.012,5.85
아우디 프로모션,4.0,240.0,0.0167,8.4
외제차 가격 순위 2025,4.0,170.0,0.0235,4.53
2026년 출시 예정 전기차,4.0,164.0,0.024399999999999998,8.32
폴스타 3 실구매가,4.0,158.0,0.0253,7.42
cla 전기차,4.0,154.0,0.026000000000000002,5.42
테슬라 a079,4.0,148.0,0.027000000000000003,5.16
cla ev,4.0,125.0,0.032,3.86
수입차 판매 순위 2025,4.0,96.0,0.0417,4.0
x4 단종,4.0,57.0,0.0702,3.88
기아 ev5 단점,4.0,45.0,0.0889,2.02
6월 수입차 판매순위,4.0,40.0,0.1,8.75
6월 수입차 판매량,4.0,37.0,0.1081,4.24
아우디 프로모션 2026,4.0,37.0,0.1081,5.05
핫딜 게시판,3.0,890.0,0.0034000000000000002,7.99
차량 판매 순위,3.0,544.0,0.0055000000000000005,8.33
시라이언7,3.0,374.0,0.008,7.44
수입차 브랜드,3.0,317.0,0.0095,4.63
byd 시라이언,3.0,288.0,0.0104,7.7
수입차 브랜드 순위,3.0,269.0,0.011200000000000002,3.09
한국 자동차 순위,3.0,269.0,0.011200000000000002,6.51
첫차 추천,3.0,210.0,0.0143,6.79
국내 자동차 판매량,3.0,197.0,0.0152,8.19
인기 자동차 순위,3.0,179.0,0.0168,6.41
2026 전기차,3.0,98.0,0.030600000000000002,2.54
테슬라 bms a079 에러,3.0,88.0,0.0341,4.74
ev5 급속충전,3.0,83.0,0.0361,5.02
테슬라 bms 보증,3.0,79.0,0.038,5.14
아우디 할인,3.0,72.0,0.0417,8.72
bmw x4 단종,3.0,58.0,0.051699999999999996,3.57
사회초년생 첫차 추천,3.0,18.0,0.16670000000000001,6.06
st1 pv5 비교,3.0,17.0,0.1765,1.88
국산차 추천 2025,2.0,876.0,0.0023,6.15
자동차 판매량 순위,2.0,817.0,0.0024,8.7
자동차판매순위,2.0,538.0,0.0037,8.13
수입차 프로모션,2.0,416.0,0.0048,10.08
국산차 순위,2.0,411.0,0.0049,6.83
수입차 판매량,2.0,376.0,0.0053,6.6
자동차 순위,2.0,320.0,0.0062,7.8
ev5 충전속도,2.0,239.0,0.0084,6.28
한국 자동차 판매 순위,2.0,223.0,0.009000000000000001,7.82
외제차 판매순위,2.0,203.0,0.009899999999999999,5.18
수입차 순위,2.0,194.0,0.0103,2.96
테슬라 bms 오류,2.0,181.0,0.011000000000000001,6.42
국산차 가격 순위,2.0,168.0,0.011899999999999999,8.17
