국가,클릭수,노출,CTR,게재 순위
한국,249.0,14159.0,0.0176,7.24
미국,2.0,281.0,0.0070999999999999995,7.24
인도네시아,1.0,6.0,0.16670000000000001,8.67
일본,0.0,44.0,0.0,6.14
알제리,0.0,34.0,0.0,14.59
캐나다,0.0,32.0,0.0,4.38
프랑스,0.0,24.0,0.0,8.04
중국,0.0,17.0,0.0,6.88
독일,0.0,12.0,0.0,6.0
호주,0.0,12.0,0.0,7.67
영국,0.0,9.0,0.0,5.22
말레이시아,0.0,9.0,0.0,5.89
베트남,0.0,9.0,0.0,8.67
필리핀,0.0,7.0,0.0,8.29
멕시코,0.0,6.0,0.0,6.67
러시아,0.0,6.0,0.0,9.67
폴란드,0.0,5.0,0.0,5.8
스페인,0.0,5.0,0.0,9.2
인도,0.0,5.0,0.0,9.2
싱가포르,0.0,5.0,0.0,10.8
뉴질랜드,0.0,4.0,0.0,3.5
태국,0.0,4.0,0.0,6.25
홍콩,0.0,4.0,0.0,7.25
대만,0.0,4.0,0.0,9.75
아르헨티나,0.0,4.0,0.0,12.75
콜롬비아,0.0,3.0,0.0,8.0
사우디 아라비아,0.0,3.0,0.0,10.0
카자흐스탄,0.0,3.0,0.0,13.33
네덜란드,0.0,2.0,0.0,5.5
이탈리아,0.0,2.0,0.0,6.0
칠레,0.0,2.0,0.0,8.0
루마니아,0.0,2.0,0.0,8.0
노르웨이,0.0,2.0,0.0,8.5
이집트,0.0,2.0,0.0,9.0
아랍에미리트 연합,0.0,2.0,0.0,9.5
이스라엘,0.0,2.0,0.0,9.5
브라질,0.0,2.0,0.0,21.5
우크라이나,0.0,2.0,0.0,29.0
이라크,0.0,1.0,0.0,1.0
아이슬란드,0.0,1.0,0.0,1.0
캄보디아,0.0,1.0,0.0,1.0
몽골,0.0,1.0,0.0,1.0
체코,0.0,1.0,0.0,2.0
과테말라,0.0,1.0,0.0,5.0
파나마,0.0,1.0,0.0,5.0
세네갈,0.0,1.0,0.0,5.0
방글라데시,0.0,1.0,0.0,6.0
기야나,0.0,1.0,0.0,6.0
헝가리,0.0,1.0,0.0,6.0
우루과이,0.0,1.0,0.0,7.0
도미니카 공화국,0.0,1.0,0.0,8.0
몰도바,0.0,1.0,0.0,8.0
터키,0.0,1.0,0.0,8.0
사이프러스,0.0,1.0,0.0,9.0
가봉,0.0,1.0,0.0,9.0
아일랜드,0.0,1.0,0.0,9.0
자메이카,0.0,1.0,0.0,9.0
볼리비아,0.0,1.0,0.0,10.0
포르투갈,0.0,1.0,0.0,11.0
슬로베니아,0.0,1.0,0.0,11.0
페루,0.0,1.0,0.0,14.0
건지,0.0,1.0,0.0,18.0
코스타리카,0.0,1.0,0.0,21.0
핀란드,0.0,1.0,0.0,28.0
