날짜,클릭수,노출,CTR
2026-07-01,0.0,0.0,
2026-07-02,0.0,0.0,
2026-07-03,0.0,0.0,
2026-07-04,0.0,0.0,
2026-07-05,0.0,0.0,
2026-07-06,0.0,0.0,
2026-07-07,0.0,0.0,
2026-07-08,0.0,0.0,
2026-07-09,0.0,0.0,
2026-07-10,0.0,0.0,
2026-07-11,0.0,0.0,
2026-07-12,0.0,0.0,
2026-07-13,12.0,390.0,0.0308
2026-07-14,0.0,0.0,
2026-07-15,0.0,0.0,
2026-07-16,0.0,0.0,
2026-07-17,0.0,0.0,
2026-07-18,0.0,0.0,
2026-07-19,201.0,2999.0,0.067
2026-07-20,5.0,44.0,0.11359999999999999
2026-07-21,1.0,16.0,0.0625
2026-07-22,0.0,0.0,
2026-07-23,133.0,1457.0,0.0913
2026-07-24,67.0,578.0,0.1159
2026-07-25,203.0,2044.0,0.0993
2026-07-26,2895.0,36484.0,0.0793
2026-07-27,1085.0,16997.0,0.0638
2026-07-28,280.0,3452.0,0.08109999999999999
2026-07-29,28.0,547.0,0.0512
2026-07-30,0.0,0.0,
2026-07-31,0.0,0.0,
