날짜,클릭수,노출,CTR,게재 순위
2026-07-01,21.0,2163.0,0.0097,6.8
2026-07-02,21.0,1957.0,0.010700000000000001,6.5
2026-07-03,26.0,1915.0,0.013600000000000001,6.7
2026-07-04,17.0,1805.0,0.009399999999999999,6.9
2026-07-05,22.0,1967.0,0.011200000000000002,6.7
2026-07-06,21.0,1869.0,0.011200000000000002,6.9
2026-07-07,25.0,1868.0,0.0134,6.9
2026-07-08,15.0,1865.0,0.008,7.0
2026-07-09,37.0,2172.0,0.017,6.6
2026-07-10,30.0,2251.0,0.013300000000000001,6.6
2026-07-11,28.0,2120.0,0.0132,6.5
2026-07-12,36.0,3211.0,0.011200000000000002,6.1
2026-07-13,32.0,2254.0,0.014199999999999999,6.3
2026-07-14,32.0,2213.0,0.014499999999999999,6.2
2026-07-15,30.0,2029.0,0.0148,6.2
2026-07-16,23.0,2091.0,0.011000000000000001,6.4
2026-07-17,23.0,1834.0,0.0125,6.2
2026-07-18,33.0,1716.0,0.0192,6.1
2026-07-19,33.0,2167.0,0.0152,6.1
2026-07-20,24.0,2313.0,0.0104,6.4
2026-07-21,25.0,2206.0,0.0113,6.1
2026-07-22,28.0,2431.0,0.0115,6.4
2026-07-23,30.0,2260.0,0.013300000000000001,6.5
2026-07-24,27.0,2166.0,0.0125,6.4
2026-07-25,24.0,2355.0,0.0102,6.3
2026-07-26,45.0,3407.0,0.0132,6.6
2026-07-27,48.0,3378.0,0.014199999999999999,6.5
2026-07-28,54.0,3052.0,0.0177,6.6
2026-07-29,44.0,3469.0,0.0127,6.3
2026-07-30,47.0,3102.0,0.0152,6.4
2026-07-31,42.0,2500.0,0.0168,6.3
